FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,ZONA,SEXO,CANTIDAD
01/01/2003,08,ATLÁNTICO,08758,SOLEDAD,URBANA,FEMENINO,1,
01/01/2003,11,BOGOTÁ D.C.,11001,BOGOTA D.C.,URBANA,FEMENINO,7
01/01/2003,13,BOLÍVAR,13836,TURBACO,RURAL,FEMENINO,1
01/01/2003,18,CAQUETÁ,18001,FLORENCIA,URBANA,FEMENINO,1
01/01/2003,19,CAUCA,19001,POPAYAN,URBANA,MASCULINO,1
01/01/2003,25,CUNDINAMARCA,25126,CAJICA,URBANA,FEMENINO,1
01/01/2003,41,HUILA,41298,GARZON,URBANA,FEMENINO,1
01/01/2003,52,NARIÑO,52001,PASTO,URBANA,MASCULINO,1
01/01/2003,63,QUINDÍO,63401,LA TEBAIDA,URBANA,FEMENINO,1
01/01/2003,68,SANTANDER,68001,BUCARAMANGA,URBANA,MASCULINO,1
02/01/2003,05,ANTIOQUIA,05380,LA ESTRELLA,URBANA,MASCULINO,1
02/01/2003,20,CESAR,20621,LA PAZ,RURAL,FEMENINO,2
02/01/2003,25,CUNDINAMARCA,25307,GIRARDOT,URBANA,FEMENINO,2
02/01/2003,41,HUILA,41006,ACEVEDO,URBANA,FEMENINO,1
02/01/2003,63,QUINDÍO,63401,LA TEBAIDA,RURAL,FEMENINO,1
02/01/2003,68,SANTANDER,68861,VELEZ,URBANA,FEMENINO,1
03/01/2003,05,ANTIOQUIA,05001,MEDELLIN,URBANA,FEMENINO,1
03/01/2003,11,BOGOTÁ D.C.,11001,BOGOTA, D.C.,URBANA,FEMENINO,4
03/01/2003,20,CESAR,20001,VALLEDUPAR,URBANA,FEMENINO,1
03/01/2003,23,CÓRDOBA,23686,SAN PELAYO,RURAL,FEMENINO,1
03/01/2003,50,META,50001,VILLAVICENCIO,URBANA,FEMENINO,2
03/01/2003,54,NORTE DE SANTANDER,54001,CUCUTA,URBANA,FEMENINO,1
03/01/2003,66,RISARALDA,66001,PEREIRA,URBANA,FEMENINO,1
03/01/2003,68,SANTANDER,68276,FLORIDABLANCA,RURAL,FEMENINO,1
03/01/2003,73,TOLIMA,73449,MELGAR,URBANA,FEMENINO,1
03/01/2003,76,VALLE DEL CAUCA,76109,BUENAVENTURA,URBANA,FEMENINO,1
04/01/2003,11,BOGOTÁ D.C.,11001,BOGOTA, D.C.,URBANA,FEMENINO,6
04/01/2003,15,BOYACÁ,15176,CHIQUINQUIRA,URBANA,FEMENINO,1
04/01/2003,15,BOYACÁ,15507,OTANCHE,URBANA,FEMENINO,1
05/01/2003,05,ANTIOQUIA,05001,MEDELLIN,URBANA,FEMENINO,1
